title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,category
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Push Up,,,0.0,warmup,,10.0,,,,Chest
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Iso-Lateral Chest Press (Machine),,,0.0,warmup,30.0,12.0,,,,Chest
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Iso-Lateral Chest Press (Machine),,,1.0,normal,50.0,10.0,,,,Chest
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Iso-Lateral Chest Press (Machine),,,2.0,normal,50.0,10.0,,,,Chest
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Iso-Lateral Chest Press (Machine),,,3.0,normal,50.0,10.0,,,,Chest
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Butterfly (Pec Deck),,,0.0,normal,47.5,8.0,,,,custom
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Butterfly (Pec Deck),,,1.0,normal,47.5,8.0,,,,custom
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Butterfly (Pec Deck),,,2.0,normal,45.0,10.0,,,,custom
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Shoulder Press (Dumbbell),,,0.0,normal,24.0,8.0,,,,Shoulders
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Shoulder Press (Dumbbell),,,1.0,normal,24.0,8.0,,,,Shoulders
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Shoulder Press (Dumbbell),,,2.0,normal,24.0,8.0,,,,Shoulders
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Triceps Pushdown,0.0,,0.0,normal,15.0,10.0,,,,Triceps
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Triceps Pushdown,0.0,,1.0,normal,15.0,10.0,,,,Triceps
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Triceps Pushdown,0.0,,2.0,normal,15.0,10.0,,,,Triceps
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Triceps Pushdown,0.0,,3.0,normal,5.0,10.0,,,,Triceps
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Face Pull,0.0,,0.0,normal,17.5,10.0,,,,Shoulders
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Face Pull,0.0,,1.0,normal,17.5,10.0,,,,Shoulders
Push,"18 May 2024, 13:22","18 May 2024, 14:12",,Face Pull,0.0,,2.0,normal,17.5,10.0,,,,Shoulders
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Squat (Smith Machine),,,0.0,normal,20.0,16.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Squat (Smith Machine),,,1.0,normal,20.0,14.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Squat (Smith Machine),,,2.0,normal,10.0,16.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Leg Press Horizontal (Machine),,,0.0,normal,65.0,10.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Leg Press Horizontal (Machine),,,1.0,normal,65.0,10.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Leg Press Horizontal (Machine),,,2.0,normal,65.0,10.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Leg Extension (Machine),,,0.0,normal,25.0,16.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Leg Extension (Machine),,,1.0,normal,22.5,16.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Leg Extension (Machine),,,2.0,normal,22.5,16.0,,,,Quadriceps
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Seated Leg Curl (Machine),,,0.0,normal,42.5,10.0,,,,Hamstrings
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Seated Leg Curl (Machine),,,1.0,normal,42.5,8.0,,,,Hamstrings
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Seated Leg Curl (Machine),,,2.0,normal,42.5,8.0,,,,Hamstrings
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Seated Calf Raise,,,0.0,normal,20.0,10.0,,,,Calves
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Seated Calf Raise,,,1.0,normal,20.0,10.0,,,,Calves
Legging,"13 May 2024, 12:26","13 May 2024, 13:14",,Seated Calf Raise,,,2.0,normal,20.0,8.0,,,,Calves
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Squat (Smith Machine),,,0.0,normal,20.0,16.0,,,,Quadriceps
